system:index,NO2_mean,fecha,.geo
20190110T121830_20190116T142618,-9999,2019-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190110T140000_20190116T155124,-9999,2019-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190110T154130_20190116T171506,-9999,2019-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190110T172300_20190116T193017,4.534591303024766E-6,2019-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190110T190430_20190116T210705,-9999,2019-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190110T204600_20190116T222143,-9999,2019-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190110T222730_20190116T235038,-9999,2019-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190111T000900_20190117T015051,-9999,2019-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190111T015030_20190117T034259,-9999,2019-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190111T033200_20190117T052117,-9999,2019-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190111T051330_20190117T072330,-9999,2019-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190111T065501_20190117T084004,-9999,2019-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190111T083631_20190117T102458,-9999,2019-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190111T101801_20190117T115946,-9999,2019-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190111T115931_20190117T141254,-9999,2019-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190111T134101_20190117T153052,-9999,2019-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190111T152231_20190117T170207,-9999,2019-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190111T170401_20190117T191336,5.001604531658122E-6,2019-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190111T184531_20190117T203420,-9999,2019-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190111T202701_20190117T222353,-9999,2019-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190111T220831_20190117T234546,-9999,2019-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
